postcode,provincie,stad
1303,Flevoland,Almere
1305,Flevoland,Almere
1309,Flevoland,Almere
1311,Flevoland,Almere
1312,Flevoland,Almere
1313,Flevoland,Almere
1314,Flevoland,Almere
1315,Flevoland,Almere
1316,Flevoland,Almere
1317,Flevoland,Almere
1318,Flevoland,Almere
1319,Flevoland,Almere
1320,Flevoland,Almere
1321,Flevoland,Almere
1322,Flevoland,Almere
1323,Flevoland,Almere
1324,Flevoland,Almere
1325,Flevoland,Almere
1326,Flevoland,Almere
1327,Flevoland,Almere
1328,Flevoland,Almere
1329,Flevoland,Almere
1331,Flevoland,Almere
1332,Flevoland,Almere
1333,Flevoland,Almere
1334,Flevoland,Almere
1335,Flevoland,Almere
1336,Flevoland,Almere
1338,Flevoland,Almere
1339,Flevoland,Almere
1341,Flevoland,Almere
1343,Flevoland,Almere
1349,Flevoland,Almere
1351,Flevoland,Almere
1352,Flevoland,Almere
1353,Flevoland,Almere
1354,Flevoland,Almere
1355,Flevoland,Almere
1356,Flevoland,Almere
1357,Flevoland,Almere
1358,Flevoland,Almere
1359,Flevoland,Almere
1361,Flevoland,Almere
1362,Flevoland,Almere
1380,Noord-Holland,Weesp
1381,Noord-Holland,Weesp
1382,Noord-Holland,Weesp
1383,Noord-Holland,Weesp
1390,Utrecht,Abcoude
1391,Utrecht,Abcoude
1393,Utrecht,Nigtevecht
1394,Noord-Holland,Nederhorst den Berg
1396,Utrecht,Baambrugge
1398,Noord-Holland,Muiden
1399,Noord-Holland,Muiderberg
1400,Noord-Holland,Bussum
1401,Noord-Holland,Bussum
1402,Noord-Holland,Bussum
1403,Noord-Holland,Bussum
1404,Noord-Holland,Bussum
1405,Noord-Holland,Bussum
1406,Noord-Holland,Bussum
1410,Noord-Holland,Naarden
1411,Noord-Holland,Naarden
1412,Noord-Holland,Naarden
1420,Noord-Holland,Uithoorn
1421,Noord-Holland,Uithoorn
1422,Noord-Holland,Uithoorn
1423,Noord-Holland,Uithoorn
1424,Noord-Holland,De Kwakel
1426,Utrecht,De Hoef
1427,Utrecht,Amstelhoek
1428,Zuid Holland,Vrouwenakker
1430,Noord-Holland,Aalsmeer
1431,Noord-Holland,Aalsmeer
1432,Noord-Holland,Aalsmeer
1433,Noord-Holland,Kudelstaart
1435,Noord-Holland,Rijsenhout
1436,Noord-Holland,Aalsmeerderbrug
1437,Noord-Holland,Rozenburg (NH)
1438,Noord-Holland,Oude Meer
1440,Noord-Holland,Purmerend
1441,Noord-Holland,Purmerend
1442,Noord-Holland,Purmerend
1443,Noord-Holland,Purmerend
1444,Noord-Holland,Purmerend
1445,Noord-Holland,Purmerend
1446,Noord-Holland,Purmerend
1447,Noord-Holland,Purmerend
1448,Noord-Holland,Purmerend
1451,Noord-Holland,Purmerland
1452,Noord-Holland,Ilpendam
1454,Noord-Holland,Watergang
1456,Noord-Holland,Wijdewormer
1458,Noord-Holland,Spijkerboor (NH)
1461,Noord-Holland,Zuidoostbeemster
1462,Noord-Holland,Middenbeemster
1463,Noord-Holland,Noordbeemster
1464,Noord-Holland,Westbeemster
1471,Noord-Holland,Kwadijk
1472,Noord-Holland,Middelie
1473,Noord-Holland,Warder
1474,Noord-Holland,Oosthuizen
1475,Noord-Holland,Beets (NH)
1476,Noord-Holland,Schardam
1477,Noord-Holland,Hobrede
1481,Noord-Holland,Purmer
1482,Noord-Holland,Purmer
1483,Noord-Holland,De Rijp
1484,Noord-Holland,Graft
1485,Noord-Holland,Noordeinde (NH)
1486,Noord-Holland,West Graftdijk
1487,Noord-Holland,Oost Graftdijk
1488,Noord-Holland,Starnmeer
1489,Noord-Holland,De Woude
1500,Noord-Holland,Zaandam
1501,Noord-Holland,Zaandam
1502,Noord-Holland,Zaandam
1503,Noord-Holland,Zaandam
1504,Noord-Holland,Zaandam
1505,Noord-Holland,Zaandam
1506,Noord-Holland,Zaandam
1507,Noord-Holland,Zaandam
1508,Noord-Holland,Zaandam
1509,Noord-Holland,Zaandam
1510,Noord-Holland,Oostzaan
1511,Noord-Holland,Oostzaan
1520,Noord-Holland,Wormerveer
1521,Noord-Holland,Wormerveer
1525,Noord-Holland,Westknollendam
1530,Noord-Holland,Wormer
1531,Noord-Holland,Wormer
1534,Noord-Holland,Oostknollendam
1536,Noord-Holland,Markenbinnen
1540,Noord-Holland,Koog aan de Zaan
1541,Noord-Holland,Koog aan de Zaan
1544,Noord-Holland,Zaandijk
1546,Noord-Holland,Jisp
1550,Noord-Holland,Westzaan
1551,Noord-Holland,Westzaan
1560,Noord-Holland,Krommenie
1561,Noord-Holland,Krommenie
1562,Noord-Holland,Krommenie
1566,Noord-Holland,Assendelft
1567,Noord-Holland,Assendelft
1600,Noord-Holland,Enkhuizen
1601,Noord-Holland,Enkhuizen
1602,Noord-Holland,Enkhuizen
1606,Noord-Holland,Venhuizen
1607,Noord-Holland,Hem
1608,Noord-Holland,Wijdenes
1609,Noord-Holland,Oosterleek
1610,Noord-Holland,Bovenkarspel
1611,Noord-Holland,Bovenkarspel
1613,Noord-Holland,Grootebroek
1614,Noord-Holland,Lutjebroek
1616,Noord-Holland,Hoogkarspel
1617,Noord-Holland,Westwoud
1619,Noord-Holland,Andijk
1620,Noord-Holland,Hoorn (NH)
1621,Noord-Holland,Hoorn (NH)
1622,Noord-Holland,Hoorn (NH)
1623,Noord-Holland,Hoorn (NH)
1624,Noord-Holland,Hoorn (NH)
1625,Noord-Holland,Hoorn (NH)
1627,Noord-Holland,Hoorn (NH)
1628,Noord-Holland,Hoorn (NH)
1631,Noord-Holland,Oudendijk (NH)
1633,Noord-Holland,Avenhorn
1634,Noord-Holland,Scharwoude
1636,Noord-Holland,Schermerhorn
1641,Noord-Holland,Spierdijk
1642,Noord-Holland,Spierdijk
1643,Noord-Holland,Spierdijk
1645,Noord-Holland,Ursem
1646,Noord-Holland,Ursem Gemeente Schermer
1647,Noord-Holland,Berkhout
1648,Noord-Holland,De Goorn
1650,Noord-Holland,Zuidermeer
1652,Noord-Holland,Zuidermeer
1654,Noord-Holland,Benningbroek
1655,Noord-Holland,Sijbekarspel
1657,Noord-Holland,Abbekerk
1658,Noord-Holland,Lambertschaag
1661,Noord-Holland,De Weere
1662,Noord-Holland,De Weere
1663,Noord-Holland,De Weere
1670,Noord-Holland,Medemblik
1671,Noord-Holland,Medemblik
1674,Noord-Holland,Opperdoes
1676,Noord-Holland,Twisk
1678,Noord-Holland,Oostwoud
1679,Noord-Holland,Midwoud
1680,Noord-Holland,Zwaagdijk
1681,Noord-Holland,Zwaagdijk
1682,Noord-Holland,Zwaagdijk
1683,Noord-Holland,Zwaagdijk
1684,Noord-Holland,Zwaagdijk
1685,Noord-Holland,Zwaagdijk
1686,Noord-Holland,Zwaagdijk
1687,Noord-Holland,Wognum
1688,Noord-Holland,Nibbixwoud
1689,Noord-Holland,Zwaag
1691,Noord-Holland,Hauwert
1692,Noord-Holland,Hauwert
1693,Noord-Holland,Wervershoof
1695,Noord-Holland,Blokker
1696,Noord-Holland,Oosterblokker
1697,Noord-Holland,Schellinkhout
1700,Noord-Holland,Heerhugowaard
1701,Noord-Holland,Heerhugowaard
1702,Noord-Holland,Heerhugowaard
1703,Noord-Holland,Heerhugowaard
1704,Noord-Holland,Heerhugowaard
1705,Noord-Holland,Heerhugowaard
1710,Noord-Holland,Hensbroek
1711,Noord-Holland,Hensbroek
1713,Noord-Holland,Obdam
1715,Noord-Holland,Spanbroek
1716,Noord-Holland,Opmeer
1718,Noord-Holland,Hoogwoud
1719,Noord-Holland,Aartswoud
1720,Noord-Holland,Broek op Langedijk
1721,Noord-Holland,Broek op Langedijk
1722,Noord-Holland,Zuid Scharwoude
1723,Noord-Holland,Noord Scharwoude
1724,Noord-Holland,Oudkarspel
1730,Noord-Holland,Winkel
1731,Noord-Holland,Winkel
1732,Noord-Holland,Lutjewinkel
1733,Noord-Holland,Nieuwe Niedorp
1734,Noord-Holland,Oude Niedorp
1735,Noord-Holland,t Veld
1736,Noord-Holland,Zijdewind
1738,Noord-Holland,Waarland
1740,Noord-Holland,Schagen
1741,Noord-Holland,Schagen
1742,Noord-Holland,Schagen
1744,Noord-Holland,Sint Maarten
1746,Noord-Holland,Dirkshorn
1747,Noord-Holland,Tuitjenhorn
1749,Noord-Holland,Warmenhuizen
1750,Noord-Holland,Schagerbrug
1751,Noord-Holland,Schagerbrug
1752,Noord-Holland,Sint Maartensbrug
1753,Noord-Holland,Sint Maartensvlotbrug
1754,Noord-Holland,Burgerbrug
1755,Noord-Holland,Petten
1756,Noord-Holland,t Zand (NH)
1757,Noord-Holland,Oudesluis
1759,Noord-Holland,Callantsoog
1760,Noord-Holland,Anna Paulowna
1761,Noord-Holland,Anna Paulowna
1764,Noord-Holland,Breezand
1766,Noord-Holland,Wieringerwaard
1767,Noord-Holland,Kolhorn
1768,Noord-Holland,Barsingerhorn
1770,Noord-Holland,Wieringerwerf
1771,Noord-Holland,Wieringerwerf
1773,Noord-Holland,Kreileroord
1774,Noord-Holland,Slootdorp
1775,Noord-Holland,Middenmeer
1777,Noord-Holland,Hippolytushoef
1778,Noord-Holland,Westerland
1779,Noord-Holland,Den Oever
1780,Noord-Holland,Den Helder
1781,Noord-Holland,Den Helder
1782,Noord-Holland,Den Helder
1783,Noord-Holland,Den Helder
1784,Noord-Holland,Den Helder
1785,Noord-Holland,Den Helder
1786,Noord-Holland,Den Helder
1787,Noord-Holland,Den Helder
1788,Noord-Holland,Den Helder
1790,Noord-Holland,Den Burg
1791,Noord-Holland,Den Burg
1792,Noord-Holland,Oudeschild
1793,Noord-Holland,De Waal
1794,Noord-Holland,Oosterend (NH)
1795,Noord-Holland,De Cocksdorp
1796,Noord-Holland,De Koog
1797,Noord-Holland,Den Hoorn Texel
1800,Noord-Holland,Alkmaar
1801,Noord-Holland,Alkmaar
1802,Noord-Holland,Alkmaar
1810,Noord-Holland,Alkmaar
1811,Noord-Holland,Alkmaar
1812,Noord-Holland,Alkmaar
1813,Noord-Holland,Alkmaar
1814,Noord-Holland,Alkmaar
1815,Noord-Holland,Alkmaar
1816,Noord-Holland,Alkmaar
1817,Noord-Holland,Alkmaar
1821,Noord-Holland,Alkmaar
1822,Noord-Holland,Alkmaar
1823,Noord-Holland,Alkmaar
1824,Noord-Holland,Alkmaar
1825,Noord-Holland,Alkmaar
1826,Noord-Holland,Alkmaar
1827,Noord-Holland,Alkmaar
1829,Noord-Holland,Oudorp (NH)
1830,Noord-Holland,Koedijk
1831,Noord-Holland,Koedijk
1832,Noord-Holland,Koedijk
1834,Noord-Holland,Sint Pancras
1840,Noord-Holland,Stompetoren
1841,Noord-Holland,Stompetoren
1842,Noord-Holland,Oterleek
1843,Noord-Holland,Grootschermer
1844,Noord-Holland,Driehuizen
1846,Noord-Holland,Zuidschermer
1847,Noord-Holland,Zuidschermer
1850,Noord-Holland,Heiloo
1851,Noord-Holland,Heiloo
1852,Noord-Holland,Heiloo
1860,Noord-Holland,Bergen (NH)
1861,Noord-Holland,Bergen (NH)
1862,Noord-Holland,Bergen (NH)
1865,Noord-Holland,Bergen aan Zee
1870,Noord-Holland,Schoorl
1871,Noord-Holland,Schoorl
1873,Noord-Holland,Groet
1900,Noord-Holland,Castricum
1901,Noord-Holland,Castricum
1902,Noord-Holland,Castricum
1906,Noord-Holland,Limmen
1910,Noord-Holland,Uitgeest
1911,Noord-Holland,Uitgeest
1920,Noord-Holland,Akersloot
1921,Noord-Holland,Akersloot
1930,Noord-Holland,Egmond aan Zee
1931,Noord-Holland,Egmond aan Zee
1934,Noord-Holland,Egmond aan de Hoef
1935,Noord-Holland,Egmond Binnen
1940,Noord-Holland,Beverwijk
1941,Noord-Holland,Beverwijk
1942,Noord-Holland,Beverwijk
1943,Noord-Holland,Beverwijk
1944,Noord-Holland,Beverwijk
1945,Noord-Holland,Beverwijk
1946,Noord-Holland,Beverwijk
1947,Noord-Holland,Beverwijk
1948,Noord-Holland,Beverwijk
1949,Noord-Holland,Wijk aan Zee
1950,Noord-Holland,Velsen Noord
1951,Noord-Holland,Velsen Noord
1960,Noord-Holland,Heemskerk
1961,Noord-Holland,Heemskerk
1962,Noord-Holland,Heemskerk
1963,Noord-Holland,Heemskerk
1964,Noord-Holland,Heemskerk
1965,Noord-Holland,Heemskerk
1966,Noord-Holland,Heemskerk
1967,Noord-Holland,Heemskerk
1968,Noord-Holland,Heemskerk
1969,Noord-Holland,Heemskerk
1970,Noord-Holland,IJmuiden
1971,Noord-Holland,IJmuiden
1972,Noord-Holland,IJmuiden
1973,Noord-Holland,IJmuiden
1974,Noord-Holland,IJmuiden
1975,Noord-Holland,IJmuiden
1976,Noord-Holland,IJmuiden
1980,Noord-Holland,Velsen Zuid
1981,Noord-Holland,Velsen Zuid
1985,Noord-Holland,Driehuis (NH)
1990,Noord-Holland,Velserbroek
1991,Noord-Holland,Velserbroek
1992,Noord-Holland,Velserbroek
2000,Noord-Holland,Haarlem
2001,Noord-Holland,Haarlem
2002,Noord-Holland,Haarlem
2003,Noord-Holland,Haarlem
2011,Noord-Holland,Haarlem
2012,Noord-Holland,Haarlem
2013,Noord-Holland,Haarlem
2014,Noord-Holland,Haarlem
2015,Noord-Holland,Haarlem
2019,Noord-Holland,Haarlem
2021,Noord-Holland,Haarlem
2022,Noord-Holland,Haarlem
2023,Noord-Holland,Haarlem
2024,Noord-Holland,Haarlem
2025,Noord-Holland,Haarlem
2026,Noord-Holland,Haarlem
2031,Noord-Holland,Haarlem
2032,Noord-Holland,Haarlem
2033,Noord-Holland,Haarlem
2034,Noord-Holland,Haarlem
2035,Noord-Holland,Haarlem
2036,Noord-Holland,Haarlem
2037,Noord-Holland,Haarlem
2040,Noord-Holland,Zandvoort
2041,Noord-Holland,Zandvoort
2042,Noord-Holland,Zandvoort
2050,Noord-Holland,Overveen
2051,Noord-Holland,Overveen
2060,Noord-Holland,Bloemendaal
2061,Noord-Holland,Bloemendaal
2063,Noord-Holland,Spaarndam West
2064,Noord-Holland,Spaarndam
2065,Noord-Holland,Haarlemmerliede
2070,Noord-Holland,Santpoort Noord
2071,Noord-Holland,Santpoort Noord
2080,Noord-Holland,Santpoort Zuid
2082,Noord-Holland,Santpoort Zuid
2100,Noord-Holland,Heemstede
2101,Noord-Holland,Heemstede
2102,Noord-Holland,Heemstede
2103,Noord-Holland,Heemstede
2104,Noord-Holland,Heemstede
2105,Noord-Holland,Heemstede
2106,Noord-Holland,Heemstede
2110,Noord-Holland,Aerdenhout
2111,Noord-Holland,Aerdenhout
2114,Noord-Holland,Vogelenzang
2116,Noord-Holland,Bentveld
2120,Noord-Holland,Bennebroek
2121,Noord-Holland,Bennebroek
2130,Noord-Holland,Hoofddorp
2131,Noord-Holland,Hoofddorp
2132,Noord-Holland,Hoofddorp
2133,Noord-Holland,Hoofddorp
2134,Noord-Holland,Hoofddorp
2135,Noord-Holland,Hoofddorp
2136,Noord-Holland,Zwaanshoek
2140,Noord-Holland,Vijfhuizen
2141,Noord-Holland,Vijfhuizen
2142,Noord-Holland,Cruquius
2143,Noord-Holland,Boesingheliede
2144,Noord-Holland,Beinsdorp
2150,Noord-Holland,Nieuw Vennep
2151,Noord-Holland,Nieuw Vennep
2152,Noord-Holland,Nieuw Vennep
2153,Noord-Holland,Nieuw Vennep
2154,Noord-Holland,Burgerveen
2155,Noord-Holland,Leimuiderbrug
2156,Noord-Holland,Weteringbrug
2157,Noord-Holland,Abbenes
2158,Noord-Holland,Buitenkaag
2159,Zuid Holland,Kaag
2160,Zuid Holland,Lisse
2161,Zuid Holland,Lisse
2162,Zuid Holland,Lisse
2163,Zuid Holland,Lisse
2165,Noord-Holland,Lisserbroek
2170,Zuid Holland,Sassenheim
2171,Zuid Holland,Sassenheim
2172,Zuid Holland,Sassenheim
2180,Zuid Holland,Hillegom
2181,Zuid Holland,Hillegom
2182,Zuid Holland,Hillegom
2190,Zuid Holland,De Zilk
2191,Zuid Holland,De Zilk
2200,Zuid Holland,Noordwijk (ZH)
2201,Zuid Holland,Noordwijk (ZH)
2202,Zuid Holland,Noordwijk (ZH)
2203,Zuid Holland,Noordwijk (ZH)
2204,Zuid Holland,Noordwijk (ZH)
2210,Zuid Holland,Noordwijkerhout
2211,Zuid Holland,Noordwijkerhout
2215,Zuid Holland,Voorhout
2220,Zuid Holland,Katwijk (ZH)
2221,Zuid Holland,Katwijk (ZH)
2222,Zuid Holland,Katwijk (ZH)
2223,Zuid Holland,Katwijk (ZH)
2224,Zuid Holland,Katwijk (ZH)
2225,Zuid Holland,Katwijk (ZH)
2230,Zuid Holland,Rijnsburg
2231,Zuid Holland,Rijnsburg
2235,Zuid Holland,Valkenburg (ZH)
2240,Zuid Holland,Wassenaar
2241,Zuid Holland,Wassenaar
2242,Zuid Holland,Wassenaar
2243,Zuid Holland,Wassenaar
2244,Zuid Holland,Wassenaar
2245,Zuid Holland,Wassenaar
2250,Zuid Holland,Voorschoten
2251,Zuid Holland,Voorschoten
2252,Zuid Holland,Voorschoten
2253,Zuid Holland,Voorschoten
2254,Zuid Holland,Voorschoten
2260,Zuid Holland,Leidschendam
2261,Zuid Holland,Leidschendam
2262,Zuid Holland,Leidschendam
2263,Zuid Holland,Leidschendam
2264,Zuid Holland,Leidschendam
2265,Zuid Holland,Leidschendam
2266,Zuid Holland,Leidschendam
2267,Zuid Holland,Leidschendam
2270,Zuid Holland,Voorburg
2271,Zuid Holland,Voorburg
2272,Zuid Holland,Voorburg
2273,Zuid Holland,Voorburg
2274,Zuid Holland,Voorburg
2275,Zuid Holland,Voorburg
2280,Zuid Holland,Rijswijk (ZH)
2281,Zuid Holland,Rijswijk (ZH)
2282,Zuid Holland,Rijswijk (ZH)
2283,Zuid Holland,Rijswijk (ZH)
2284,Zuid Holland,Rijswijk (ZH)
2285,Zuid Holland,Rijswijk (ZH)
2286,Zuid Holland,Rijswijk (ZH)
2287,Zuid Holland,Rijswijk (ZH)
2288,Zuid Holland,Rijswijk (ZH)
2289,Zuid Holland,Rijswijk (ZH)
2290,Zuid Holland,Wateringen
2291,Zuid Holland,Wateringen
2292,Zuid Holland,Wateringen
2295,Zuid Holland,Kwintsheul
2300,Zuid Holland,Leiden
2301,Zuid Holland,Leiden
2302,Zuid Holland,Leiden
2303,Zuid Holland,Leiden
2311,Zuid Holland,Leiden
2312,Zuid Holland,Leiden
2313,Zuid Holland,Leiden
2314,Zuid Holland,Leiden
2315,Zuid Holland,Leiden
2316,Zuid Holland,Leiden
2317,Zuid Holland,Leiden
2318,Zuid Holland,Leiden
2321,Zuid Holland,Leiden
2322,Zuid Holland,Leiden
2323,Zuid Holland,Leiden
2324,Zuid Holland,Leiden
2331,Zuid Holland,Leiden
2332,Zuid Holland,Leiden
2333,Zuid Holland,Leiden
2334,Zuid Holland,Leiden
2340,Zuid Holland,Oegstgeest
2341,Zuid Holland,Oegstgeest
2342,Zuid Holland,Oegstgeest
2343,Zuid Holland,Oegstgeest
2350,Zuid Holland,Leiderdorp
2351,Zuid Holland,Leiderdorp
2352,Zuid Holland,Leiderdorp
2353,Zuid Holland,Leiderdorp
2355,Zuid Holland,Hoogmade
2360,Zuid Holland,Warmond
2361,Zuid Holland,Warmond
2362,Zuid Holland,Warmond
2370,Zuid Holland,Roelofarendsveen
2371,Zuid Holland,Roelofarendsveen
2374,Zuid Holland,Oud Ade
2375,Zuid Holland,Rijpwetering
2376,Zuid Holland,Nieuwe Wetering
2377,Zuid Holland,Oude Wetering
2380,Zuid Holland,Zoeterwoude
2381,Zuid Holland,Zoeterwoude
2382,Zuid Holland,Zoeterwoude
2390,Zuid Holland,Hazerswoude Dorp
2391,Zuid Holland,Hazerswoude Dorp
2394,Zuid Holland,Hazerswoude Rijndijk
2396,Zuid Holland,Koudekerk aan den Rijn
2400,Zuid Holland,Alphen aan den Rijn
2401,Zuid Holland,Alphen aan den Rijn
2402,Zuid Holland,Alphen aan den Rijn
2403,Zuid Holland,Alphen aan den Rijn
2404,Zuid Holland,Alphen aan den Rijn
2405,Zuid Holland,Alphen aan den Rijn
2406,Zuid Holland,Alphen aan den Rijn
2407,Zuid Holland,Alphen aan den Rijn
2408,Zuid Holland,Alphen aan den Rijn
2409,Zuid Holland,Alphen aan den Rijn
2410,Zuid Holland,Bodegraven
2411,Zuid Holland,Bodegraven
2415,Zuid Holland,Nieuwerbrug
2420,Zuid Holland,Nieuwkoop
2421,Zuid Holland,Nieuwkoop
2430,Zuid Holland,Noorden
2431,Zuid Holland,Noorden
2432,Zuid Holland,Noorden
2435,Zuid Holland,Zevenhoven
2440,Zuid Holland,Nieuwveen
2441,Zuid Holland,Nieuwveen
2445,Zuid Holland,Aarlanderveen
2450,Zuid Holland,Leimuiden
2451,Zuid Holland,Leimuiden
2460,Zuid Holland,Ter Aar
2461,Zuid Holland,Ter Aar
2465,Zuid Holland,Rijnsaterwoude
2470,Zuid Holland,Zwammerdam
2471,Zuid Holland,Zwammerdam
2480,Zuid Holland,Woubrugge
2481,Zuid Holland,Woubrugge
2490,Zuid Holland,Den Haag
2491,Zuid Holland,Den Haag
2492,Zuid Holland,Den Haag
2493,Zuid Holland,Den Haag
2495,Zuid Holland,Den Haag
2496,Zuid Holland,Den Haag
2497,Zuid Holland,Den Haag
2498,Zuid Holland,Den Haag
2500,Zuid Holland,Den Haag
2501,Zuid Holland,Den Haag
2502,Zuid Holland,Den Haag
2503,Zuid Holland,Den Haag
2504,Zuid Holland,Den Haag
2505,Zuid Holland,Den Haag
